Source File,Page,Has_Text,Has_Order_Header,Used_OCR
106.pdf,46,True,True,False
106.pdf,47,True,True,False
106.pdf,48,True,True,False
106.pdf,49,True,True,False
106.pdf,50,True,True,False
106.pdf,51,True,True,False
106.pdf,52,True,True,False
106.pdf,53,True,True,False
106.pdf,54,True,True,False
106.pdf,55,True,True,False
106.pdf,56,True,True,False
106.pdf,57,True,True,False
106.pdf,58,True,True,False
106.pdf,59,True,True,False
106.pdf,60,True,True,False
106.pdf,61,True,True,False
106.pdf,62,True,True,False
106.pdf,63,True,True,False
106.pdf,64,True,True,False
106.pdf,65,True,True,False
106.pdf,66,True,True,False
106.pdf,67,True,True,False
106.pdf,68,True,True,False
106.pdf,69,True,True,False
106.pdf,70,True,True,False
106.pdf,71,True,True,False
106.pdf,72,True,True,False
106.pdf,73,True,True,False
106.pdf,74,True,True,False
106.pdf,75,True,True,False
106.pdf,76,True,True,False
106.pdf,77,True,True,False
106.pdf,78,True,True,False
106.pdf,79,True,True,False
106.pdf,80,True,True,False
106.pdf,81,True,True,False
107.pdf,1,True,True,False
107.pdf,2,True,True,False
107.pdf,3,True,True,False
107.pdf,4,True,True,False
107.pdf,5,True,True,False
107.pdf,6,True,True,False
107.pdf,7,True,True,False
107.pdf,8,True,True,False
107.pdf,9,True,True,False
107.pdf,10,True,True,False
107.pdf,11,True,True,False
107.pdf,12,True,True,False
107.pdf,13,True,True,False
107.pdf,14,True,True,False
107.pdf,15,True,True,False
107.pdf,16,True,True,False
107.pdf,17,True,True,False
107.pdf,18,True,True,False
107.pdf,19,True,True,False
107.pdf,20,True,True,False
107.pdf,21,True,True,False
107.pdf,22,True,True,False
107.pdf,23,True,True,False
107.pdf,24,True,True,False
107.pdf,25,True,True,False
107.pdf,26,True,True,False
107.pdf,27,True,True,False
107.pdf,28,True,True,False
107.pdf,29,True,True,False
107.pdf,30,True,True,False
107.pdf,31,True,True,False
107.pdf,32,True,True,False
107.pdf,33,True,True,False
107.pdf,34,True,True,False
107.pdf,35,True,True,False
107.pdf,36,True,True,False
107.pdf,37,True,True,False
107.pdf,38,True,True,False
107.pdf,39,True,True,False
107.pdf,40,True,True,False
107.pdf,41,True,True,False
107.pdf,42,True,True,False
107.pdf,43,True,True,False
107.pdf,44,True,True,False
107.pdf,45,True,True,False
107.pdf,46,True,True,False
107.pdf,47,True,True,False
107.pdf,48,True,True,False
107.pdf,49,True,True,False
107.pdf,50,True,True,False
107.pdf,51,True,True,False
107.pdf,52,True,True,False
107.pdf,53,True,True,False
107.pdf,54,True,True,False
107.pdf,55,True,True,False
107.pdf,56,True,True,False
107.pdf,57,True,True,False
107.pdf,58,True,True,False
107.pdf,59,True,True,False
107.pdf,60,True,True,False
107.pdf,61,True,True,False
107.pdf,62,True,True,False
107.pdf,63,True,True,False
107.pdf,64,True,True,False
107.pdf,65,True,True,False
107.pdf,66,True,True,False
107.pdf,67,True,True,False
107.pdf,68,True,True,False
107.pdf,69,True,True,False
107.pdf,70,True,True,False
107.pdf,71,True,True,False
107.pdf,72,True,True,False
107.pdf,73,True,True,False
107.pdf,74,True,True,False
107.pdf,75,True,True,False
107.pdf,76,True,True,False
107.pdf,77,True,True,False
107.pdf,78,True,True,False
107.pdf,79,True,True,False
107.pdf,80,True,True,False
108.pdf,1,True,True,False
108.pdf,2,True,True,False
108.pdf,3,True,True,False
108.pdf,4,True,True,False
108.pdf,5,True,True,False
108.pdf,6,True,True,False
108.pdf,7,True,True,False
108.pdf,8,True,True,False
108.pdf,9,True,True,False
108.pdf,10,True,True,False
108.pdf,11,True,True,False
108.pdf,12,True,True,False
108.pdf,13,True,True,False
108.pdf,14,True,True,False
108.pdf,15,True,True,False
108.pdf,16,True,True,False
108.pdf,17,True,True,False
108.pdf,18,True,True,False
108.pdf,19,True,True,False
108.pdf,20,True,True,False
108.pdf,21,True,True,False
108.pdf,22,True,True,False
108.pdf,23,True,True,False
108.pdf,24,True,True,False
108.pdf,25,True,True,False
108.pdf,26,True,True,False
108.pdf,27,True,True,False
108.pdf,28,True,True,False
108.pdf,29,True,True,False
108.pdf,30,True,True,False
108.pdf,31,True,True,False
108.pdf,32,True,True,False
108.pdf,33,True,True,False
108.pdf,34,True,True,False
108.pdf,35,True,True,False
108.pdf,36,True,True,False
108.pdf,37,True,True,False
108.pdf,38,True,True,False
108.pdf,39,True,True,False
108.pdf,40,True,True,False
108.pdf,41,True,True,False
108.pdf,42,True,True,False
108.pdf,43,True,True,False
108.pdf,44,True,True,False
108.pdf,45,True,True,False
108.pdf,46,True,True,False
108.pdf,47,True,True,False
108.pdf,48,True,True,False
108.pdf,49,True,True,False
108.pdf,50,True,True,False
108.pdf,51,True,True,False
108.pdf,52,True,True,False
108.pdf,53,True,True,False
108.pdf,54,True,True,False
